Day,OT_Scripture_Readings,NT_Scripture_Readings,OT_URL,NT_URL,Video_URLs
1,Genesis 1; Genesis 2,2 Timothy 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/1,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/1,https://www.youtube.com/embed/GQI72THyO5I | https://www.youtube.com/embed/YbipxLDtY8c | https://www.youtube.com/embed/Q0BrP8bqj0c
2,Genesis 3; Genesis 4,Matthew 1,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/2,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/2,https://www.youtube.com/embed/3dEh25pduQ8 | https://www.youtube.com/embed/3Dv4-n6OYGI
3,Genesis 5; Genesis 6,Matthew 2,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/3,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/3,
4,Genesis 7; Genesis 8; Genesis 9,Matthew 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/4,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/4,https://www.youtube.com/embed/6v4jKkFj3TI?rel=0
5,Genesis 10; Genesis 11,Matthew 4,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/5,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/5,
6,Genesis 12; Genesis 13; Genesis 14,Matthew 5,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/6,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/6,https://www.youtube.com/embed/F4isSyennFo
7,Genesis 15; Genesis 16,Matthew 5,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/7,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/7,https://www.youtube.com/embed/VpbWbyx1008
8,Genesis 17; Genesis 18,Matthew 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/8,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/8,
9,Genesis 19; Genesis 20,Matthew 7,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/9,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/9,
10,Genesis 21; Genesis 22,Matthew 8,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/10,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/10,
11,Genesis 23; Genesis 24,Matthew 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/11,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/11,
12,Genesis 25; Genesis 26,Matthew 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/12,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/12,
13,Genesis 27; Genesis 28,Matthew 10,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/13,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/13,
14,Genesis 29; Genesis 30,Matthew 10,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/14,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/14,
15,Genesis 31; Genesis 32,Matthew 11,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/15,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/15,
16,Genesis 33; Genesis 34,Matthew 12,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/16,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/16,
17,Genesis 35; Genesis 36,Matthew 12,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/17,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/17,
18,Genesis 37; Genesis 38,Matthew 13,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/18,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/18,
19,Genesis 39; Genesis 40; Genesis 41,Matthew 13,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/19,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/19,
20,Genesis 42; Genesis 43; Genesis 44,Matthew 14,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/20,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/20,https://www.youtube.com/embed/GGCF3OPWN14
21,Genesis 45; Genesis 46; Genesis 47,Matthew 14,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/21,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/21,
22,Genesis 48; Genesis 49; Genesis 50,Matthew 15,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/22,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/22,
23,Exodus 1; Exodus 2,Matthew 15,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/23,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/23,https://www.youtube.com/embed/jH_aojNJM3E
24,Exodus 3; Exodus 4,Matthew 16,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/24,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/24,
25,Exodus 5; Exodus 6,Matthew 17,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/25,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/25,
26,Exodus 7; Exodus 8; Exodus 9,Matthew 18,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/26,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/26,
