Day,Scripture_Readings,URL
1,2 Timothy 3,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/1
2,Matthew 1,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/2
3,Matthew 2,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/3
4,Matthew 3,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/4
5,Matthew 4,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/5
6,Matthew 5,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/6
7,Matthew 5,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/7
8,Matthew 6,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/8
9,Matthew 7,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/9
10,Matthew 8,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/10
11,Matthew 9,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/11
12,Matthew 9,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/12
13,Matthew 10,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/13
14,Matthew 10,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/14
15,Matthew 11,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/15
16,Matthew 12,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/16
17,Matthew 12,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/17
18,Matthew 13,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/18
19,Matthew 13,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/19
20,Matthew 14,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/20
21,Matthew 14,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/21
22,Matthew 15,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/22
23,Matthew 15,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/23
24,Matthew 16,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/24
25,Matthew 17,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/25
26,Matthew 18,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/26
27,Matthew 18,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/27
28,Matthew 19,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/28
29,Matthew 19,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/29
30,Matthew 20,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/30
31,Matthew 20,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/31
32,Matthew 21,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/32
33,Matthew 21,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/33
34,Matthew 22,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/34
35,Matthew 22,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/35
36,Matthew 23,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/36
37,Matthew 23,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/37
38,Matthew 24,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/38
39,Matthew 24,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/39
40,Matthew 25,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/40
41,Matthew 25,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/41
42,Matthew 26,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/42
43,Matthew 26,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/43
44,Matthew 26,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/44
45,Matthew 27,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/45
46,Matthew 27,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/46
47,Matthew 28,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/47
48,Mark 1,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/48
49,Mark 1,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/49
50,Mark 2,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/50
51,Mark 3,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/51
52,Mark 4,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/52
53,Mark 4,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/53
54,Mark 5,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/54
55,Mark 5,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/55
56,Mark 6,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/56
57,Mark 6,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/57
58,Mark 7,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/58
59,Mark 7,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/59
60,Mark 8,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/60
61,Mark 8,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/61
62,Mark 9,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/62
63,Mark 9,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/63
64,Mark 10,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/64
65,Mark 10,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/65
66,Mark 11,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/66
67,Mark 11,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/67
68,Mark 12,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/68
69,Mark 12,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/69
70,Mark 13,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/70
71,Mark 13,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/71
72,Mark 14,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/72
73,Mark 14,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/73
74,Mark 14,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/74
75,Mark 15,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/75
76,Mark 15,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/76
77,Mark 16,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/77
78,Luke 1,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/78
79,Luke 1,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/79
80,Luke 1,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/80
81,Luke 2,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/81
82,Luke 3,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/82
83,Luke 4,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/83
84,Luke 4,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/84
85,Luke 5,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/85
86,Luke 5,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/86
87,Luke 6,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/87
88,Luke 6,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/88
89,Luke 7,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/89
90,Luke 7,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/90
91,Luke 8,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/91
92,Luke 8,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/92
93,Luke 9,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/93
94,Luke 9,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/94
95,Luke 10,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/95
96,Luke 10,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/96
97,Luke 11,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/97
98,Luke 11,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/98
99,Luke 12,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/99
100,Luke 12,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/100
101,Luke 13,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/101
102,Luke 13,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/102
103,Luke 14,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/103
