Day,Scripture_Readings,URL
1,Genesis 1; Genesis 2,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/1
2,Genesis 3; Genesis 4,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/2
3,Genesis 5; Genesis 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/3
4,Genesis 7; Genesis 8; Genesis 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/4
5,Genesis 10; Genesis 11,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/5
6,Genesis 12; Genesis 13; Genesis 14,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/6
7,Genesis 15; Genesis 16,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/7
8,Genesis 17; Genesis 18,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/8
9,Genesis 19; Genesis 20,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/9
10,Genesis 21; Genesis 22,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/10
11,Genesis 23; Genesis 24,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/11
12,Genesis 25; Genesis 26,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/12
13,Genesis 27; Genesis 28,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/13
14,Genesis 29; Genesis 30,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/14
15,Genesis 31; Genesis 32,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/15
16,Genesis 33; Genesis 34,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/16
17,Genesis 35; Genesis 36,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/17
18,Genesis 37; Genesis 38,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/18
19,Genesis 39; Genesis 40; Genesis 41,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/19
20,Genesis 42; Genesis 43; Genesis 44,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/20
21,Genesis 45; Genesis 46; Genesis 47,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/21
22,Genesis 48; Genesis 49; Genesis 50,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/22
23,Exodus 1; Exodus 2,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/23
24,Exodus 3; Exodus 4,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/24
25,Exodus 5; Exodus 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/25
26,Exodus 7; Exodus 8; Exodus 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/26
27,Exodus 10; Exodus 11,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/27
28,Exodus 12; Exodus 13; Exodus 14,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/28
29,Exodus 15; Exodus 16,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/29
30,Exodus 17; Exodus 18,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/30
31,Exodus 19; Exodus 20; Exodus 21,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/31
32,Exodus 22; Exodus 23; Exodus 24,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/32
33,Exodus 25; Exodus 26; Exodus 27,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/33
34,Exodus 28; Exodus 29; Exodus 30,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/34
35,Exodus 31; Exodus 32; Exodus 33,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/35
36,Exodus 34; Exodus 35; Exodus 36,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/36
37,Exodus 37; Exodus 38,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/37
38,Exodus 39; Exodus 40,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/38
39,Leviticus 1; Leviticus 2; Leviticus 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/39
40,Leviticus 4; Leviticus 5; Leviticus 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/40
41,Leviticus 7; Leviticus 8; Leviticus 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/41
42,Leviticus 10; Leviticus 11; Leviticus 12,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/42
43,Leviticus 13; Leviticus 14; Leviticus 15,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/43
44,Leviticus 16; Leviticus 17; Leviticus 18,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/44
45,Leviticus 19; Leviticus 20; Leviticus 21,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/45
46,Leviticus 22; Leviticus 23; Leviticus 24,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/46
47,Leviticus 25; Leviticus 26; Leviticus 27,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/47
48,Numbers 1; Numbers 2,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/48
49,Numbers 3; Numbers 4,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/49
